unique_spon_names,normed_spon_names
Affiliated Hospital to Academy of Military Medical Sciences,Affiliated Hospital to Academy of Military Medical Sciences
"Shanghai Fifth People's Hospital, Fudan University","Shanghai Fifth People's Hospital, Fudan University"
Sun Yat sen Memorial Hospital of Sun Yat sen University,Sun Yat sen Memorial Hospital of Sun Yat sen University
Central South Hospital of Wuhan University,Central South Hospital of Wuhan University
The People's Hospital of Guangxi Zhuang Autonomous Region,The People's Hospital of Guangxi Zhuang Autonomous Region
Union Hospital Affiliated to Tongji Medical College of Huazhong University of science and technology,"Union Hospital, Tongji Medical College, Huazhong University of Science and Technology"
China Academy of Chinese Medical Science,China Academy of Chinese Medical Science
Liaocheng People's Hospital,Liaocheng People's Hospital
The Second Hospital of Hebei Medical University,The Second Hospital of Hebei Medical University
"Institute of Emergency Medicine and Disaster Medicine Sichuan People's Hospital, Sichuan Academy of Medical Sciences","Institute of Emergency Medicine and Disaster Medicine Sichuan People's Hospital, Sichuan Academy of Medical Sciences"
The First Afflicated Hospital of Guangzhou University of Chinese Medicine,The First Afflicated Hospital of Guangzhou University of Chinese Medicine
The 5th Medical Center Chinese PLA General Hospital,The 5th Medical Center Chinese PLA General Hospital
The affiliated Hospital to Changchun University of Traditional Chinese Medicine,The affiliated Hospital to Changchun University of Traditional Chinese Medicine
Huo-Shen-Shan Hospital,Huo-Shen-Shan Hospital
The First Hospital of He'nan University of Chinese Medicine,The First Hospital of He'nan University of Chinese Medicine
McMaster University,McMaster University
Affiliated Hospital of Chengdu University of Traditional Chinese Medicine,Affiliated Hospital of Chengdu University of Traditional Chinese Medicine
"Department of Ultrasound Imaging, Renmin Hospital of Wuhan University",Renmin Hospital of Wuhan University
"Second Hospital of University of South China, Hengyang","Second Hospital of University of South China, Hengyang"
Tongji Hospital affiliated to Tongji medical college of HUST,"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
Zhejiang Provincial People's Hospital,Zhejiang Provincial People's Hospital
Puren Hospital Affiliated to Wuhan University of Science and Technology,Puren Hospital Affiliated to Wuhan University of Science and Technology
The Third Hospital of Wuhan,The Third Hospital of Wuhan
First Teaching Hospital of Tianjin University of Traditional Chinese Medicine,The First Teaching Hospital of Tianjin University of Traditional Chinese Medicine
"Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology, Wuhan, China","Tongji Hospital, Tongji Medical College, Huazhong University of Science and Technology"
The Ninth Hospital of Nanchang,The Ninth Hospital of Nanchang
